"Downloaded on",03/19/2021,"13:51:33 EDT"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A%5B%22117%22%2C%22116%22%5D%2C%22bill-status%22%3A%22law%22%7D&searchResultViewType=expanded

"Legislation Number",URL,Congress,"Amends Bill",Title,Sponsor,"Date of Introduction","Date Offered","Date Submitted","Date Proposed","Number of Cosponsors",Committees,"Latest Action Date","Latest Action"
"H.R. 4672",https://www.congress.gov/bill/116th-congress/house-bill/4672,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 21701 Stevens Creek Boulevard in Cupertino, California, as the ""Petty Officer 2nd Class (SEAL) Matthew G. Axelson Post Office Building"".","Rep. Khanna, Ro [D-CA-17]",10/15/2019,,,,52,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",12/21/2020,"Became Public Law No: 116-238."
"H.R. 4566",https://www.congress.gov/bill/116th-congress/house-bill/4566,"116th Congress (2019-2020)",,"Virginia Beach Strong Act","Rep. Luria, Elaine G. [D-VA-2]",09/27/2019,,,,8,"House - Ways and Means",12/20/2019,"Became Public Law No: 116-98."
"H.R. 4508",https://www.congress.gov/bill/116th-congress/house-bill/4508,"116th Congress (2019-2020)",,"Malala Yousafzai Scholarship Act","Rep. Jeffries, Hakeem S. [D-NY-8]",09/26/2019,,,,32,"House - Foreign Affairs | Senate - Foreign Relations",01/13/2021,"Became Public Law No: 116-338."
"H.R. 4378",https://www.congress.gov/bill/116th-congress/house-bill/4378,"116th Congress (2019-2020)",,"Continuing Appropriations Act, 2020, and Health Extenders Act of 2019","Rep. Lowey, Nita M. [D-NY-17]",09/18/2019,,,,0,"House - Appropriations, Budget",09/27/2019,"Became Public Law No: 116-59."
"H.R. 4356",https://www.congress.gov/bill/116th-congress/house-bill/4356,"116th Congress (2019-2020)",,"Protecting Families of Fallen Servicemembers Act","Rep. Harder, Josh [D-CA-10]",09/17/2019,,,,1,"House - Veterans' Affairs | Senate - Veterans' Affairs",01/05/2021,"Became Public Law No: 116-285."
"H.R. 4334",https://www.congress.gov/bill/116th-congress/house-bill/4334,"116th Congress (2019-2020)",,"Supporting Older Americans Act of 2020","Rep. Bonamici, Suzanne [D-OR-1]",09/16/2019,,,,25,"House - Education and Labor",03/25/2020,"Became Public Law No: 116-131."
"H.R. 4285",https://www.congress.gov/bill/116th-congress/house-bill/4285,"116th Congress (2019-2020)",,"Department of Veterans Affairs Expiring Authorities Act of 2019","Rep. Brindisi, Anthony [D-NY-22]",09/11/2019,,,,2,"House - Veterans' Affairs",09/30/2019,"Became Public Law No: 116-61."
"H.R. 4279",https://www.congress.gov/bill/116th-congress/house-bill/4279,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 445 Main Street in Laceyville, Pennsylvania, as the ""Melinda Gene Piccotti Post Office"".","Rep. Keller, Fred [R-PA-12]",09/11/2019,,,,17,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",12/21/2020,"Became Public Law No: 116-237."
"H.R. 4258",https://www.congress.gov/bill/116th-congress/house-bill/4258,"116th Congress (2019-2020)",,"Reauthorizing Security for Supreme Court Justices Act of 2019","Rep. Stanton, Greg [D-AZ-9]",09/09/2019,,,,2,"House - Judiciary",11/27/2019,"Became Public Law No: 116-75."
"H.R. 4200",https://www.congress.gov/bill/116th-congress/house-bill/4200,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 321 South 1st Street in Montrose, Colorado, as the ""Sergeant David Kinterknecht Post Office"".","Rep. Tipton, Scott  R. [R-CO-3]",08/20/2019,,,,6,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",12/21/2020,"Became Public Law No: 116-236."
"H.R. 4183",https://www.congress.gov/bill/116th-congress/house-bill/4183,"116th Congress (2019-2020)",,"Identifying Barriers and Best Practices Study Act","Rep. Khanna, Ro [D-CA-17]",08/13/2019,,,,10,"House - Veterans' Affairs | Senate - Veterans' Affairs",10/30/2020,"Became Public Law No: 116-187."
"H.R. 4104",https://www.congress.gov/bill/116th-congress/house-bill/4104,"116th Congress (2019-2020)",,"Negro Leagues Baseball Centennial Commemorative Coin Act","Rep. Cleaver, Emanuel [D-MO-5]",07/30/2019,,,,301,"House - Financial Services",12/04/2020,"Became Public Law No: 116-209."
"H.R. 4044",https://www.congress.gov/bill/116th-congress/house-bill/4044,"116th Congress (2019-2020)",,"Protect and Restore America's Estuaries Act","Rep. Malinowski, Tom [D-NJ-7]",07/25/2019,,,,26,"House - Transportation and Infrastructure",01/13/2021,"Became Public Law No: 116-337."
"H.R. 4034",https://www.congress.gov/bill/116th-congress/house-bill/4034,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 602 Pacific Avenue in Bremerton, Washington, as the ""John Henry Turpin Post Office Building"".","Rep. Kilmer, Derek [D-WA-6]",07/25/2019,,,,9,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",12/21/2020,"Became Public Law No: 116-235."
"H.R. 4031",https://www.congress.gov/bill/116th-congress/house-bill/4031,"116th Congress (2019-2020)",,"Great Lakes Restoration Initiative Act of 2019","Rep. Joyce, David P. [R-OH-14]",07/25/2019,,,,49,"House - Transportation and Infrastructure | Senate - Environment and Public Works",01/05/2021,"Became Public Law No: 116-294."
"H.R. 3976",https://www.congress.gov/bill/116th-congress/house-bill/3976,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 12711 East Jefferson Avenue in Detroit, Michigan, as the ""Aretha Franklin Post Office Building"".","Rep. Lawrence, Brenda L. [D-MI-14]",07/25/2019,,,,15,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",01/05/2021,"Became Public Law No: 116-293."
"H.R. 3889",https://www.congress.gov/bill/116th-congress/house-bill/3889,"116th Congress (2019-2020)",,"ONDCP Technical Corrections Act of 2019","Rep. Rouda, Harley [D-CA-48]",07/23/2019,,,,1,"House - Oversight and Reform, Energy and Commerce | Senate - Judiciary",11/27/2019,"Became Public Law No: 116-74."
"H.R. 3877",https://www.congress.gov/bill/116th-congress/house-bill/3877,"116th Congress (2019-2020)",,"Bipartisan Budget Act of 2019","Rep. Yarmuth, John A. [D-KY-3]",07/23/2019,,,,1,"House - Budget, Rules, Ways and Means",08/02/2019,"Became Public Law No: 116-37."
"H.R. 3870",https://www.congress.gov/bill/116th-congress/house-bill/3870,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 511 West 165th Street in New York, New York, as the ""Normandia Maldonado Post Office Building"".","Rep. Espaillat, Adriano [D-NY-13]",07/22/2019,,,,26,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",12/21/2020,"Became Public Law No: 116-234."
"H.R. 3847",https://www.congress.gov/bill/116th-congress/house-bill/3847,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 117 West Poythress Street in Hopewell, Virginia, as the ""Reverend Curtis West Harris Post Office Building"".","Rep. McEachin, A. Donald [D-VA-4]",07/18/2019,,,,10,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",12/21/2020,"Became Public Law No: 116-233."
"H.R. 3680",https://www.congress.gov/bill/116th-congress/house-bill/3680,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 415 North Main Street in Henning, Tennessee, as the ""Paula Croom Robinson and Judy Spray Memorial Post Office Building"".","Rep. Kustoff, David [R-TN-8]",07/10/2019,,,,8,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",12/21/2020,"Became Public Law No: 116-232."
"H.R. 3589",https://www.congress.gov/bill/116th-congress/house-bill/3589,"116th Congress (2019-2020)",,"Greg LeMond Congressional Gold Medal Act","Rep. Thompson, Mike [D-CA-5]",06/27/2019,,,,301,"House - Financial Services | Senate - Banking, Housing, and Urban Affairs",12/04/2020,"Became Public Law No: 116-208."
"H.R. 3504",https://www.congress.gov/bill/116th-congress/house-bill/3504,"116th Congress (2019-2020)",,"Ryan Kules and Paul Benne Specially Adaptive Housing Improvement Act of 2019","Rep. Bilirakis, Gus M. [R-FL-12]",06/26/2019,,,,2,"House - Veterans' Affairs",08/08/2020,"Became Public Law No: 116-154."
"H.R. 3465",https://www.congress.gov/bill/116th-congress/house-bill/3465,"116th Congress (2019-2020)",,"Fallen Journalists Memorial Act","Rep. Napolitano, Grace F. [D-CA-32]",06/25/2019,,,,49,"House - Natural Resources | Senate - Energy and Natural Resources",12/23/2020,"Became Public Law No: 116-253."
"H.R. 3401",https://www.congress.gov/bill/116th-congress/house-bill/3401,"116th Congress (2019-2020)",,"Emergency Supplemental Appropriations for Humanitarian Assistance and Security at the Southern Border Act, 2019","Rep. Lowey, Nita M. [D-NY-17]",06/21/2019,,,,0,"House - Appropriations, Budget",07/01/2019,"Became Public Law No: 116-26."
"H.R. 3399",https://www.congress.gov/bill/116th-congress/house-bill/3399,"116th Congress (2019-2020)",,"To amend the Nutria Eradication and Control Act of 2003 to include California in the program, and for other purposes.","Rep. Harder, Josh [D-CA-10]",06/21/2019,,,,7,"House - Natural Resources | Senate - Environment and Public Works",10/30/2020,"Became Public Law No: 116-186."
"H.R. 3349",https://www.congress.gov/bill/116th-congress/house-bill/3349,"116th Congress (2019-2020)",,"Republic of Texas Legation Memorial Act","Rep. Doggett, Lloyd [D-TX-35]",06/19/2019,,,,11,"House - Natural Resources | Senate - Energy and Natural Resources",12/22/2020,"Became Public Law No: 116-248."
"H.R. 3329",https://www.congress.gov/bill/116th-congress/house-bill/3329,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 5186 Benito Street in Montclair, California, as the ""Paul Eaton Post Office Building"".","Rep. Torres, Norma J. [D-CA-35]",06/18/2019,,,,51,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",12/03/2020,"Became Public Law No: 116-199."
"H.R. 3317",https://www.congress.gov/bill/116th-congress/house-bill/3317,"116th Congress (2019-2020)",,"To permit the Scipio A. Jones Post Office in Little Rock, Arkansas, to accept and display a portrait of Scipio A. Jones, and for other purposes.","Rep. Hill, J. French [R-AR-2]",06/18/2019,,,,3,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",12/03/2020,"Became Public Law No: 116-198."
"H.R. 3314",https://www.congress.gov/bill/116th-congress/house-bill/3314,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 1750 McCulloch Boulevard North in Lake Havasu City, Arizona, as the ""Lake Havasu City Combat Veterans Memorial Post Office Building"".","Rep. Gosar, Paul A. [R-AZ-4]",06/18/2019,,,,8,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",12/13/2019,"Became Public Law No: 116-90."
"H.R. 3311",https://www.congress.gov/bill/116th-congress/house-bill/3311,"116th Congress (2019-2020)",,"Small Business Reorganization Act of 2019","Rep. Cline, Ben [R-VA-6]",06/18/2019,,,,3,"House - Judiciary",08/23/2019,"Became Public Law No: 116-54."
"H.R. 3305",https://www.congress.gov/bill/116th-congress/house-bill/3305,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 2509 George Mason Drive in Virginia Beach, Virginia, as the ""Ryan Keith Cox Post Office Building"".","Rep. Luria, Elaine G. [D-VA-2]",06/18/2019,,,,10,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",08/21/2019,"Became Public Law No: 116-47."
"H.R. 3304",https://www.congress.gov/bill/116th-congress/house-bill/3304,"116th Congress (2019-2020)",,"National Guard and Reservists Debt Relief Extension Act of 2019","Rep. Cohen, Steve [D-TN-9]",06/18/2019,,,,3,"House - Judiciary",08/23/2019,"Became Public Law No: 116-53."
"H.R. 3275",https://www.congress.gov/bill/116th-congress/house-bill/3275,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 340 Wetmore Avenue in Grand River, Ohio, as the ""Lance Corporal Andy 'Ace' Nowacki Post Office"".","Rep. Joyce, David P. [R-OH-14]",06/13/2019,,,,15,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",12/21/2020,"Became Public Law No: 116-231."
"H.R. 3253",https://www.congress.gov/bill/116th-congress/house-bill/3253,"116th Congress (2019-2020)",,"Sustaining Excellence in Medicaid Act of 2019","Rep. Dingell, Debbie [D-MI-12]",06/13/2019,,,,9,"House - Energy and Commerce",08/06/2019,"Became Public Law No: 116-39."
"H.R. 3250",https://www.congress.gov/bill/116th-congress/house-bill/3250,"116th Congress (2019-2020)",,"Julius Rosenwald and the Rosenwald Schools Act of 2020","Rep. Davis, Danny K. [D-IL-7]",06/13/2019,,,,43,"House - Natural Resources",01/13/2021,"Became Public Law No: 116-336."
"H.R. 3245",https://www.congress.gov/bill/116th-congress/house-bill/3245,"116th Congress (2019-2020)",,"Restore the Harmony Way Bridge Act","Rep. Bucshon, Larry [R-IN-8]",06/13/2019,,,,26,"House - Transportation and Infrastructure",08/23/2019,"Became Public Law No: 116-56."
"H.R. 3207",https://www.congress.gov/bill/116th-congress/house-bill/3207,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 114 Mill Street in Hookstown, Pennsylvania, as the ""Staff Sergeant Dylan Elchin Post Office Building"".","Rep. Lamb, Conor [D-PA-17]",06/11/2019,,,,17,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",12/03/2020,"Became Public Law No: 116-197."
"H.R. 3196",https://www.congress.gov/bill/116th-congress/house-bill/3196,"116th Congress (2019-2020)",,"Vera C. Rubin Observatory Designation Act","Rep. Johnson, Eddie Bernice [D-TX-30]",06/11/2019,,,,5,"House - Science, Space, and Technology | Senate - Commerce, Science, and Transportation",12/20/2019,"Became Public Law No: 116-97."
"H.R. 3153",https://www.congress.gov/bill/116th-congress/house-bill/3153,"116th Congress (2019-2020)",,"EFFORT Act","Rep. Wexton, Jennifer [D-VA-10]",06/06/2019,,,,25,"House - Science, Space, and Technology | Senate - Commerce, Science, and Transportation",01/13/2021,"Became Public Law No: 116-335."
"H.R. 3151",https://www.congress.gov/bill/116th-congress/house-bill/3151,"116th Congress (2019-2020)",,"Taxpayer First Act","Rep. Lewis, John [D-GA-5]",06/06/2019,,,,28,"House - Ways and Means, Budget, Financial Services",07/01/2019,"Became Public Law No: 116-25."
"H.R. 3144",https://www.congress.gov/bill/116th-congress/house-bill/3144,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 8520 Michigan Avenue in Whittier, California, as the ""Jose Ramos Post Office Building"".","Rep. Sanchez, Linda T. [D-CA-38]",06/05/2019,,,,52,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",12/13/2019,"Became Public Law No: 116-89."
"H.R. 3055",https://www.congress.gov/bill/116th-congress/house-bill/3055,"116th Congress (2019-2020)",,"Further Continuing Appropriations Act, 2020, and Further Health Extenders Act of 2019","Rep. Serrano, Jose E. [D-NY-15]",06/03/2019,,,,0,"House - Appropriations",11/21/2019,"Became Public Law No: 116-69."
"H.R. 3005",https://www.congress.gov/bill/116th-congress/house-bill/3005,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 13308 Midland Road in Poway, California, as the ""Ray Chavez Post Office Building"".","Rep. Peters, Scott H. [D-CA-52]",05/23/2019,,,,52,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",12/21/2020,"Became Public Law No: 116-230."
"H.R. 2969",https://www.congress.gov/bill/116th-congress/house-bill/2969,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 1401 1st Street North in Winter Haven, Florida, as the ""Althea Margaret Daily Mills Post Office Building"".","Rep. Soto, Darren [D-FL-9]",05/23/2019,,,,26,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",12/21/2020,"Became Public Law No: 116-229."
"H.R. 2940",https://www.congress.gov/bill/116th-congress/house-bill/2940,"116th Congress (2019-2020)",,"To extend the program of block grants to States for temporary assistance for needy families and related programs through September 30, 2019.","Rep. Davis, Danny K. [D-IL-7]",05/23/2019,,,,2,"House - Ways and Means",07/05/2019,"Became Public Law No: 116-27."
"H.R. 2938",https://www.congress.gov/bill/116th-congress/house-bill/2938,"116th Congress (2019-2020)",,"HAVEN Act","Rep. McBath, Lucy [D-GA-6]",05/23/2019,,,,38,"House - Judiciary",08/23/2019,"Became Public Law No: 116-52."
"H.R. 2744",https://www.congress.gov/bill/116th-congress/house-bill/2744,"116th Congress (2019-2020)",,"USAID Branding Modernization Act","Rep. McCaul, Michael T. [R-TX-10]",05/15/2019,,,,3,"House - Foreign Affairs | Senate - Foreign Relations",01/13/2021,"Became Public Law No: 116-334."
"H.R. 2695",https://www.congress.gov/bill/116th-congress/house-bill/2695,"116th Congress (2019-2020)",,"To rename the Success Dam in Tulare County, California, as the Richard L. Schafer Dam.","Rep. McCarthy, Kevin [R-CA-23]",05/14/2019,,,,1,"House - Transportation and Infrastructure | Senate - Environment and Public Works",08/09/2019,"Became Public Law No: 116-41."
"H.R. 2502",https://www.congress.gov/bill/116th-congress/house-bill/2502,"116th Congress (2019-2020)",,"Transparency in Federal Buildings Projects Act of 2019","Rep. Palmer, Gary J. [R-AL-6]",05/02/2019,,,,2,"House - Transportation and Infrastructure | Senate - Environment and Public Works",01/13/2021,"Became Public Law No: 116-333."
"H.R. 2476",https://www.congress.gov/bill/116th-congress/house-bill/2476,"116th Congress (2019-2020)",,"Securing American Nonprofit Organizations Against Terrorism Act of 2019","Rep. Thompson, Bennie G. [D-MS-2]",05/02/2019,,,,104,"House - Homeland Security | Senate - Homeland Security and Governmental Affairs",01/24/2020,"Became Public Law No: 116-108."
"H.R. 2468",https://www.congress.gov/bill/116th-congress/house-bill/2468,"116th Congress (2019-2020)",,"School-Based Allergies and Asthma Management Program Act","Rep. Hoyer, Steny H. [D-MD-5]",05/02/2019,,,,47,"House - Energy and Commerce | Senate - Health, Education, Labor, and Pensions",01/05/2021,"Became Public Law No: 116-292."
"H.R. 2454",https://www.congress.gov/bill/116th-congress/house-bill/2454,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 123 East Sharpfish Street in Rosebud, South Dakota, as the ""Ben Reifel Post Office Building"".","Rep. Johnson, Dusty [R-SD-At Large]",05/01/2019,,,,0,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",12/21/2020,"Became Public Law No: 116-228."
"H.R. 2451",https://www.congress.gov/bill/116th-congress/house-bill/2451,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 575 Dexter Street in Central Falls, Rhode Island, as the ""Elizabeth Buffum Chace Post Office"".","Rep. Cicilline, David N. [D-RI-1]",05/01/2019,,,,1,"House - Oversight and Reform",12/13/2019,"Became Public Law No: 116-88."
"H.R. 2444",https://www.congress.gov/bill/116th-congress/house-bill/2444,"116th Congress (2019-2020)",,"Eastern European Security Act","Rep. McCaul, Michael T. [R-TX-10]",05/01/2019,,,,6,"House - Foreign Affairs | Senate - Foreign Relations",01/13/2021,"Became Public Law No: 116-332."
"H.R. 2423",https://www.congress.gov/bill/116th-congress/house-bill/2423,"116th Congress (2019-2020)",,"Women's Suffrage Centennial Commemorative Coin Act","Rep. Stefanik, Elise M. [R-NY-21]",04/30/2019,,,,311,"House - Financial Services",11/25/2019,"Became Public Law No: 116-71."
"H.R. 2385",https://www.congress.gov/bill/116th-congress/house-bill/2385,"116th Congress (2019-2020)",,"To permit the Secretary of Veterans Affairs to establish a grant program to conduct cemetery research and produce educational materials for the Veterans Legacy Program.","Rep. Lamb, Conor [D-PA-17]",04/29/2019,,,,1,"House - Veterans' Affairs | Senate - Veterans' Affairs",01/17/2020,"Became Public Law No: 116-107."
"H.R. 2379",https://www.congress.gov/bill/116th-congress/house-bill/2379,"116th Congress (2019-2020)",,"To reauthorize the Bulletproof Vest Partnership Grant Program.","Rep. Pascrell, Bill, Jr. [D-NJ-9]",04/29/2019,,,,26,"House - Judiciary",05/23/2019,"Became Public Law No: 116-18."
"H.R. 2372",https://www.congress.gov/bill/116th-congress/house-bill/2372,"116th Congress (2019-2020)",,"Veterans' Care Quality Transparency Act","Rep. Underwood, Lauren [D-IL-14]",04/25/2019,,,,1,"House - Veterans' Affairs",10/20/2020,"Became Public Law No: 116-177."
"H.R. 2359",https://www.congress.gov/bill/116th-congress/house-bill/2359,"116th Congress (2019-2020)",,"Whole Veteran Act","Rep. Lamb, Conor [D-PA-17]",04/25/2019,,,,2,"House - Veterans' Affairs",10/30/2020,"Became Public Law No: 116-185."
"H.R. 2336",https://www.congress.gov/bill/116th-congress/house-bill/2336,"116th Congress (2019-2020)",,"Family Farmer Relief Act of 2019","Rep. Delgado, Antonio [D-NY-19]",04/18/2019,,,,27,"House - Judiciary",08/23/2019,"Became Public Law No: 116-51."
"H.R. 2334",https://www.congress.gov/bill/116th-congress/house-bill/2334,"116th Congress (2019-2020)",,"To designate the Department of Veterans Affairs community-based outpatient clinic in Odessa, Texas, as the ""Wilson and Young Medal of Honor VA Clinic"".","Rep. Conaway, K. Michael [R-TX-11]",04/18/2019,,,,35,"House - Veterans' Affairs | Senate - Veterans' Affairs",12/13/2019,"Became Public Law No: 116-87."
"H.R. 2333",https://www.congress.gov/bill/116th-congress/house-bill/2333,"116th Congress (2019-2020)",,"Support for Suicide Prevention Coordinators Act","Rep. Brindisi, Anthony [D-NY-22]",04/18/2019,,,,10,"House - Veterans' Affairs",12/20/2019,"Became Public Law No: 116-96."
"H.R. 2325",https://www.congress.gov/bill/116th-congress/house-bill/2325,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 100 Calle Alondra in San Juan, Puerto Rico, as the ""65th Infantry Regiment Post Office Building"".","Rep. Gonzalez-Colon, Jenniffer [R-PR-At Large]",04/15/2019,,,,0,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",12/13/2019,"Became Public Law No: 116-86."
"H.R. 2246",https://www.congress.gov/bill/116th-congress/house-bill/2246,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 201 West Cherokee Street in Brookhaven, Mississippi, as the ""Deputy Donald William Durr, Corporal Zach Moak, and Patrolman James White Memorial Post Office Building"".","Rep. Guest, Michael [R-MS-3]",04/10/2019,,,,3,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",12/21/2020,"Became Public Law No: 116-227."
"H.R. 2196",https://www.congress.gov/bill/116th-congress/house-bill/2196,"116th Congress (2019-2020)",,"To amend title 38, United States Code, to reduce the credit hour requirement for the Edith Nourse Rogers STEM Scholarship program of the Department of Veterans Affairs.","Rep. Barr, Andy [R-KY-6]",04/10/2019,,,,3,"House - Veterans' Affairs | Senate - Veterans' Affairs",07/31/2019,"Became Public Law No: 116-36."
"H.R. 2157",https://www.congress.gov/bill/116th-congress/house-bill/2157,"116th Congress (2019-2020)",,"Additional Supplemental Appropriations for Disaster Relief Act, 2019","Rep. Lowey, Nita M. [D-NY-17]",04/09/2019,,,,0,"House - Appropriations, Budget",06/06/2019,"Became Public Law No: 116-20."
"H.R. 2151",https://www.congress.gov/bill/116th-congress/house-bill/2151,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 7722 South Main Street in Pine Plains, New York, as the ""Senior Chief Petty Officer Shannon M. Kent Post Office"".","Rep. Delgado, Antonio [D-NY-19]",04/09/2019,,,,39,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",12/13/2019,"Became Public Law No: 116-85."
"H.R. 2030",https://www.congress.gov/bill/116th-congress/house-bill/2030,"116th Congress (2019-2020)",,"Colorado River Drought Contingency Plan Authorization Act","Rep. Grijalva, Raul M. [D-AZ-3]",04/02/2019,,,,36,"House - Natural Resources",04/16/2019,"Became Public Law No: 116-14."
"H.R. 1972",https://www.congress.gov/bill/116th-congress/house-bill/1972,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 1100 West Kent Avenue in Missoula, Montana, as the ""Jeannette Rankin Post Office Building"".","Rep. Gianforte, Greg [R-MT-At Large]",03/28/2019,,,,0,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",12/13/2019,"Became Public Law No: 116-84."
"H.R. 1966",https://www.congress.gov/bill/116th-congress/house-bill/1966,"116th Congress (2019-2020)",,"Henrietta Lacks Enhancing Cancer Research Act of 2019","Rep. Cummings, Elijah E. [D-MD-7]",03/28/2019,,,,78,"House - Energy and Commerce, Armed Services, Veterans' Affairs | Senate - Health, Education, Labor, and Pensions",01/05/2021,"Became Public Law No: 116-291."
"H.R. 1957",https://www.congress.gov/bill/116th-congress/house-bill/1957,"116th Congress (2019-2020)",,"Great American Outdoors Act","Rep. Lewis, John [D-GA-5]",03/28/2019,,,,28,"House - Ways and Means, Financial Services",08/04/2020,"Became Public Law No: 116-152."
"H.R. 1952",https://www.congress.gov/bill/116th-congress/house-bill/1952,"116th Congress (2019-2020)",,"Intercountry Adoption Information Act of 2019","Rep. Collins, Doug [R-GA-9]",03/28/2019,,,,6,"House - Foreign Affairs | Senate - Foreign Relations",10/30/2020,"Became Public Law No: 116-184."
"H.R. 1925",https://www.congress.gov/bill/116th-congress/house-bill/1925,"116th Congress (2019-2020)",,"To designate the Manhattan Campus of the New York Harbor Health Care System of the Department of Veterans Affairs as the ""Margaret Cochran Corbin Campus of the New York Harbor Health Care System"".","Rep. Maloney, Carolyn B. [D-NY-12]",03/27/2019,,,,26,"House - Veterans' Affairs",01/13/2021,"Became Public Law No: 116-331."
"H.R. 1923",https://www.congress.gov/bill/116th-congress/house-bill/1923,"116th Congress (2019-2020)",,"Circulating Collectible Coin Redesign Act of 2020","Rep. Lee, Barbara [D-CA-13]",03/27/2019,,,,168,"House - Financial Services | Senate - Banking, Housing, and Urban Affairs",01/13/2021,"Became Public Law No: 116-330."
"H.R. 1865",https://www.congress.gov/bill/116th-congress/house-bill/1865,"116th Congress (2019-2020)",,"Further Consolidated Appropriations Act, 2020","Rep. Pascrell, Bill, Jr. [D-NJ-9]",03/25/2019,,,,304,"House - Financial Services",12/20/2019,"Became Public Law No: 116-94."
"H.R. 1844",https://www.congress.gov/bill/116th-congress/house-bill/1844,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 66 Grove Court in Elgin, Illinois, as the ""Corporal Alex Martinez Memorial Post Office Building"".","Rep. Krishnamoorthi, Raja [D-IL-8]",03/21/2019,,,,17,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",12/12/2019,"Became Public Law No: 116-83."
"H.R. 1839",https://www.congress.gov/bill/116th-congress/house-bill/1839,"116th Congress (2019-2020)",,"Medicaid Services Investment and Accountability Act of 2019","Rep. Ruiz, Raul [D-CA-36]",03/21/2019,,,,8,"House - Energy and Commerce",04/18/2019,"Became Public Law No: 116-16."
"H.R. 1833",https://www.congress.gov/bill/116th-congress/house-bill/1833,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 35 Tulip Avenue in Floral Park, New York, as the ""Lieutenant Michael R. Davidson Post Office Building"".","Rep. Rice, Kathleen M. [D-NY-4]",03/18/2019,,,,26,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",12/03/2020,"Became Public Law No: 116-196."
"H.R. 1830",https://www.congress.gov/bill/116th-congress/house-bill/1830,"116th Congress (2019-2020)",,"National Purple Heart Hall of Honor Commemorative Coin Act","Rep. Maloney, Sean Patrick [D-NY-18]",03/18/2019,,,,307,"House - Financial Services | Senate - Banking, Housing, and Urban Affairs",12/22/2020,"Became Public Law No: 116-247."
"H.R. 1812",https://www.congress.gov/bill/116th-congress/house-bill/1812,"116th Congress (2019-2020)",,"Vet Center Eligibility Expansion Act","Rep. Roe, David P. [R-TN-1]",03/18/2019,,,,2,"House - Veterans' Affairs",10/20/2020,"Became Public Law No: 116-176."
